host,ip,collector_hostname,timestamp,feature,value
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,tcpRetransSegs,1375
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,tcpCurrEstab,45
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,tcpEstabResets,1084
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,tcpActiveOpens,6493
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,udpInDatagrams,700905
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,udpOutDatagrams,148603
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,udpInErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,udpNoPorts,2313
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ipInReceives,1273862
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ipInDelivers,1270067
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ipOutRequests,819587
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ipOutDiscards,35
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ipInDiscards,2488
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ipForwDatagrams,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ipOutNoRoutes,9
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ipInAddrErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,icmpInMsgs,86
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,icmpInDestUnreachs,82
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,icmpOutMsgs,768
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,icmpOutDestUnreachs,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,icmpInEchos,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,icmpOutEchoReps,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ifInOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ifOutOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ifOutDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ifInUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ifInNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ifInDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ifOutUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ifOutNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,tcpOutRsts,2485
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,tcpInSegs,624327
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,tcpOutSegs,711831
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,tcpPassiveOpens,344
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,tcpRetransSegs,1375
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,tcpCurrEstab,46
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,tcpEstabResets,1084
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,tcpActiveOpens,6494
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,udpInDatagrams,700919
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,udpOutDatagrams,148618
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,udpInErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,udpNoPorts,2313
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ipInReceives,1274738
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ipInDelivers,1270941
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ipOutRequests,821280
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ipOutDiscards,35
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ipInDiscards,2489
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ipForwDatagrams,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ipOutNoRoutes,9
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,ipInAddrErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,icmpInMsgs,86
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,icmpInDestUnreachs,82
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,icmpOutMsgs,768
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,icmpOutDestUnreachs,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,icmpInEchos,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:23.524336,icmpOutEchoReps,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ifInOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ifOutOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ifOutDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ifInUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ifInNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ifInDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ifOutUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ifOutNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,tcpOutRsts,2485
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,tcpInSegs,624482
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,tcpOutSegs,711984
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,tcpPassiveOpens,344
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,tcpRetransSegs,1375
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,tcpCurrEstab,47
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,tcpEstabResets,1084
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,tcpActiveOpens,6495
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,udpInDatagrams,700923
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,udpOutDatagrams,148620
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,udpInErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,udpNoPorts,2313
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ipInReceives,1274804
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ipInDelivers,1271007
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ipOutRequests,821348
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ipOutDiscards,35
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ipInDiscards,2489
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ipForwDatagrams,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ipOutNoRoutes,9
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,ipInAddrErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,icmpInMsgs,86
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,icmpInDestUnreachs,82
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,icmpOutMsgs,768
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,icmpOutDestUnreachs,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,icmpInEchos,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:33.927340,icmpOutEchoReps,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ifInOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ifOutOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ifOutDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ifInUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ifInNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ifInDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ifOutUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ifOutNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,tcpOutRsts,2485
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,tcpInSegs,624694
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,tcpOutSegs,712178
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,tcpPassiveOpens,344
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,tcpRetransSegs,1375
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,tcpCurrEstab,48
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,tcpEstabResets,1084
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,tcpActiveOpens,6497
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,udpInDatagrams,700925
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,udpOutDatagrams,148622
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,udpInErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,udpNoPorts,2313
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ipInReceives,1274918
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ipInDelivers,1271121
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ipOutRequests,821453
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ipOutDiscards,35
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ipInDiscards,2489
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:44.295897,ipForwDatagrams,0
